"id.exposure","id.outcome","method","nsnp","b","se","ci_low","ci_upp","pval","steiger_filtered","outlier_filtered","selection","method2","MOE"
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","RE IVW",38,-0.00040500988171202,0.00037994002811361,-0.0011496923368147,0.000339672573390655,0.293337799159995,TRUE,FALSE,"DF","RE IVW - DF",0.79
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","RE Egger",38,-0.000231882871784809,0.000743648663229266,-0.00168943425171417,0.00122566850814455,0.756977825629665,TRUE,FALSE,"DF","RE Egger - DF",0.76
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Simple mode",36,-0.000385451145761988,0.00115892014247268,-0.00265689288596647,0.00188599059444249,0.741423883893051,FALSE,TRUE,"HF","Simple mode - HF",0.75
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Penalised median",38,-0.000882797468003679,0.000597456757775525,-0.00205379119556378,0.000288196259556421,0.139516953114908,TRUE,FALSE,"DF","Penalised median - DF",0.75
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Weighted median",36,-0.000778030882880303,0.000596683024256402,-0.00194750812060929,0.000391446354848685,0.192258600783066,FALSE,TRUE,"HF","Weighted median - HF",0.74
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","FE IVW",36,-0.000391721320975512,0.00033346661954086,-0.0010453158952756,0.000261873253324573,0.240117060108054,TRUE,TRUE,"DF + HF","FE IVW - DF + HF",0.74
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Simple median",36,-0.000411821832271835,0.000687563448949356,-0.00175942142929872,0.000935777764755046,0.549200694699574,TRUE,TRUE,"DF + HF","Simple median - DF + HF",0.74
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Weighted median",36,-0.000778030882880303,0.000611178532066198,-0.00197591879385411,0.000419857028093504,0.203017686784743,TRUE,TRUE,"DF + HF","Weighted median - DF + HF",0.74
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Weighted mode",36,-0.00076596880967738,0.000749308890428287,-0.00223458724821249,0.000702649628857732,0.313684292499032,TRUE,TRUE,"DF + HF","Weighted mode - DF + HF",0.74
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","RE IVW",38,-0.00040500988171202,0.00037994002811361,-0.0011496923368147,0.000339672573390655,0.293337799159995,FALSE,FALSE,"Tophits","RE IVW - Tophits",0.73
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Penalised median",36,-0.000907925433545058,0.000625756743139249,-0.00213438611318107,0.000318535246090951,0.146801043346138,FALSE,TRUE,"HF","Penalised median - HF",0.73
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Simple median",38,-0.000411821832271835,0.000700867051798747,-0.00178549601174815,0.000961852347204478,0.556808136630917,FALSE,FALSE,"Tophits","Simple median - Tophits",0.72
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Penalised mode",36,-0.000804020576068919,0.000841680710343853,-0.00245368445482496,0.000845643302687122,0.345999946448273,FALSE,TRUE,"HF","Penalised mode - HF",0.72
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Penalised median",36,-0.000907925433545058,0.000630681045387967,-0.00214403756823754,0.000328186701147428,0.149981945927935,TRUE,TRUE,"DF + HF","Penalised median - DF + HF",0.72
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Weighted mode",36,-0.00076596880967738,0.000706092774967418,-0.00214988521835746,0.000617947599002704,0.285426597377866,FALSE,TRUE,"HF","Weighted mode - HF",0.71
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Simple median",38,-0.000411821832271835,0.000671106059251774,-0.00172716553821191,0.000903521873668245,0.539449000116155,TRUE,FALSE,"DF","Simple median - DF",0.71
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","FE Egger",36,-0.000276736775322083,0.000649053930439761,-0.00154888247898401,0.000995408928339848,0.669838649771761,TRUE,TRUE,"DF + HF","FE Egger - DF + HF",0.71
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","FE Egger",36,-0.000276736775322083,0.000649053930439761,-0.00154888247898401,0.000995408928339848,0.669838649771761,FALSE,TRUE,"HF","FE Egger - HF",0.7
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Simple median",36,-0.000411821832271835,0.000686368861690933,-0.00175708008129582,0.000933436416752147,0.548505735196675,FALSE,TRUE,"HF","Simple median - HF",0.7
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","RE Egger",36,-0.000276736775322083,0.000649053930439761,-0.00154888247898401,0.000995408928339848,0.672526108121252,TRUE,TRUE,"DF + HF","RE Egger - DF + HF",0.7
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Penalised median",38,-0.000882797468003679,0.000618374812262327,-0.00209478982898456,0.000329194892977198,0.153404422071914,FALSE,FALSE,"Tophits","Penalised median - Tophits",0.69
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","RE Egger",36,-0.000276736775322083,0.000649053930439761,-0.00154888247898401,0.000995408928339848,0.672526108121252,FALSE,TRUE,"HF","RE Egger - HF",0.69
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Weighted mode",38,-0.000626139987724957,0.000783287882145905,-0.00216135602625758,0.000909076050807671,0.429175680342965,TRUE,FALSE,"DF","Weighted mode - DF",0.69
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Weighted median",38,-0.0007628580555272,0.000611387042160258,-0.00196115463877578,0.000435438527721376,0.212122700125981,FALSE,FALSE,"Tophits","Weighted median - Tophits",0.68
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Simple mean",38,-0.000353507129278132,0.000365732112132472,-0.00107034206905778,0.000363327810501513,0.340032819492421,TRUE,FALSE,"DF","Simple mean - DF",0.68
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Weighted median",38,-0.0007628580555272,0.000620327797304971,-0.00197867819685401,0.000452962085799605,0.218784730627053,TRUE,FALSE,"DF","Weighted median - DF",0.68
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Simple mode",36,-0.000385451145761988,0.00113293095847462,-0.00260595502134269,0.00183505272981872,0.735720846857586,TRUE,TRUE,"DF + HF","Simple mode - DF + HF",0.68
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","FE IVW",38,-0.00040500988171202,0.00037994002811361,-0.0011496923368147,0.000339672573390655,0.286431004664972,FALSE,FALSE,"Tophits","FE IVW - Tophits",0.67
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","RE IVW",36,-0.000391721320975512,0.00033346661954086,-0.0010453158952756,0.000261873253324573,0.248047517347397,FALSE,TRUE,"HF","RE IVW - HF",0.67
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Penalised mode",36,-0.000804020576068919,0.000859811304057095,-0.00248921976552124,0.000881178613383404,0.356137529238089,TRUE,TRUE,"DF + HF","Penalised mode - DF + HF",0.67
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Simple mean",38,-0.000353507129278132,0.000365732112132472,-0.00107034206905778,0.000363327810501513,0.340032819492421,FALSE,FALSE,"Tophits","Simple mean - Tophits",0.66
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","RE Egger",38,-0.000231882871784809,0.000743648663229266,-0.00168943425171417,0.00122566850814455,0.756977825629665,FALSE,FALSE,"Tophits","RE Egger - Tophits",0.66
"ebi-a-GCST000759","ukb-d-C_LYMPHOMA","Simple mode",38,-0.0003959369617157,0.00115833105397196,-0.00266622410967506,0.00187435018624366,0.734422698757146,FALSE,FALSE,"Tophits","Simple mode - Tophits",0.66
